Player,Role,Amount,Team,Age,Year,Nation,Overseas,Mega,id,matches,Innings,Not Outs,Aggregate,Highest Score,Average,30s,50s,100s,4s,6s,Boundary %,Scoring Rate,Top Scored in Innings,Top Scored %,Overs,Balls Bowled,Wickets,3 Wickets in Innings,4 Wickets in Innings,5 Wickets in Innings,Economy Rate,Strike Rate,prog_agg,prog_avg,prog_sr,prog_bowlsr,prog_er,prog_wkts,prog_bowlavg,prog_matches,last_matches,last_inn,last_hs,last_runs,last_avg,last_sr,last_batpercent,overs,last_wkts,last_bowlavg,last_bowlsr,last_bowler,last_bowlpercent,birthyear
Manprit Juneja,Batsman,0.1,Sunrisers Hyderabad,24,2014,Indian,0,1,4029,7,7,0,125,49,17.86,1,0,0,11,1,0.4,97.66,0,0,,,,,,,,,125,17.86,97.66,,,0,,7,7,7,49,125,17.86,97.66,13.56,7,0,125,17.86,97.66,13.56,1990
Unmukt Chand,Batsman,0.65,Rajasthan Royals,21,2014,Indian,0,1,4030,21,20,0,300,58,15,2,1,0,29,9,0.566666667,100,2,0.1,,,,,,,,,196,15.08,96.08,,,0,,13,9,9,41,158,17.56,100,12.04,9,0,158,17.56,100,12.04,1993
Kedar Jadhav,Batsman,2,Delhi Daredevils,29,2014,Indian,0,1,4033,95,81,27,1208,69,22.37,7,4,0,102,40,0.536423841,123.14,9,0.111111111,,,,,,,,,246,18.92,121.18,,,0,,23,12,10,31,152,21.71,122.58,9.22,10,0,152,21.71,122.58,9.22,1985
Mandeep Singh,Batsman,1.1,Delhi Capitals,31,2022,Indian,0,1,4046,111,98,16,1706,77,,12,6,0,176,38,0.546307151,122.91,8,0.081632653,2,12,0,0,0,0,13,,1674,22.03,124.09,,13,0,,105,13,1,15,15,15,107.14,11.11,2,0,,,13,,1991
Manan Vohra,Batsman,1.1,Royal Challengers Bangalore,25,2018,Indian,0,1,4052,56,51,2,1083,95,22.1,12,3,0,106,42,0.624192059,130.64,8,0.156862745,,,,,,,,,957,24.54,132.73,,,0,,45,11,9,95,229,25.44,144.03,13.11,9,1,229,25.44,144.03,13.11,1993
Manan Vohra,Batsman,0.2,Rajasthan Royals,26,2019,Indian,0,0,4052,56,51,2,1083,95,22.1,12,3,0,106,42,0.624192059,130.64,8,0.156862745,,,,,,,,,1012,23.53,131.77,,,0,,49,4,4,45,55,13.75,117.02,8.35,4,0,55,13.75,117.02,8.35,1993
Manan Vohra,Batsman,0.2,Lucknow Super Giants,29,2022,Indian,0,1,4052,56,51,2,1083,95,22.1,12,3,0,106,42,0.624192059,130.64,8,0.156862745,,,,,,,,,1054,22.43,130.61,,,0,,53,4,4,14,42,10.5,107.69,6.11,4,0,42,10.5,107.69,6.11,1993
Aiden Blizzard,Batsman,0.3,Mumbai Indians,31,2015,Overseas,1,0,4061,7,7,0,120,51,17.14,1,1,0,21,2,0.8,133.33,1,0.142857143,,,,,,,,,120,17.14,133.33,,,0,,7,1,1,0,0,0,,,,,,,,,1984
Manish Pandey,Batsman,11,Sunrisers Hyderabad,29,2018,Indian,0,1,4083,170,158,27,3808,114,29.07,28,22,1,333,108,0.519957983,120.97,28,0.17721519,,,,,,,,,2215,28.4,120.12,,,0,,103,14,13,81*,396,49.5,128.57,17,13,2,396,49.5,128.57,17,1989
Manish Pandey,Batsman,4.6,Lucknow Super Giants,33,2022,Indian,0,1,4083,170,158,27,3808,114,29.07,28,22,1,333,108,0.519957983,120.97,28,0.17721519,,,,,,,,,3560,30.69,121.83,,,0,,154,8,8,69*,292,48.67,123.73,23.55,8,3,292,48.67,123.73,23.55,1989
Manish Pandey,Batsman,1.7,Kolkata Knight Riders,25,2014,Indian,0,1,4083,170,158,27,3808,114,29.07,28,22,1,333,108,0.519957983,120.97,28,0.17721519,,,,,,,,,945,24.87,113.99,,,0,,48,7,7,66,136,22.67,99.27,14.72,7,1,136,22.67,99.27,14.72,1989
Tirumalasetti Suman,Batsman,0.1,Sunrisers Hyderabad,33,2016,Indian,0,0,4086,43,40,8,676,78,37.17,4,2,0,55,26,0.556213018,117.57,4,0.1,28,168,6,0,0,0,7.96,28,676,21.13,117.57,28,7.96,6,37.17,43,7,5,23,52,10.4,89.66,5.46,2,1,15,12,7.5,3.13,1983
Sachin Baby,Batsman,0.2,Sunrisers Hyderabad,30,2018,Indian,0,1,4098,19,11,2,144,33,4,1,0,0,11,5,0.513888889,122.03,0,0,1.4,10,2,0,0,0,4.8,5,137,17.13,135.64,5,4.8,2,4,18,11,3,12,15,5,100,3.5,1.4,2,4,5,4.8,2.74,1988
Sachin Baby,Batsman,0.2,Royal Challengers Bangalore,33,2021,Indian,0,0,4098,19,11,2,144,33,4,1,0,0,11,5,0.513888889,122.03,0,0,1.4,10,2,0,0,0,4.8,5,137,17.13,135.64,5,4.8,2,4,18,11,3,12,15,5,100,3.5,1.4,2,4,5,4.8,2.74,1988
Sachin Baby,Batsman,0.1,Royal Challengers Bangalore,28,2016,Indian,0,0,4098,19,11,2,144,33,4,1,0,0,11,5,0.513888889,122.03,0,0,1.4,10,2,0,0,0,4.8,5,3,3,42.86,,,0,,4,4,1,3,3,3,42.86,0.5,3,0,15,5,100,3.5,1988
Mayank Agarwal,Batsman,1.6,Delhi Daredevils,23,2014,Indian,0,1,4104,123,117,4,2597,106,22.98,17,13,1,255,97,0.616865614,133.66,15,0.128205128,,,,,,,,,433,18.83,127.35,,,0,,29,5,5,29,67,13.4,108.06,8.69,5,0,67,13.4,108.06,8.69,1991
Mayank Agarwal,Batsman,1,Kings XI Punjab,27,2018,Indian,0,1,4104,123,117,4,2597,106,22.98,17,13,1,255,97,0.616865614,133.66,15,0.128205128,,,,,,,,,814,17.7,123.33,,,0,,53,3,3,20,26,8.67,96.3,5.68,3,0,26,8.67,96.3,5.68,1991
Chris Lynn,Batsman,9.6,Kolkata Knight Riders,28,2018,Overseas,1,1,4108,42,42,3,1329,93,34.08,10,10,0,132,66,0.695259594,140.63,15,0.357142857,,,,,,,,,384,38.4,158.02,,,0,,12,7,7,93*,295,49.17,180.98,29.71,7,3,295,49.17,180.98,29.71,1990
Chris Lynn,Batsman,2,Mumbai Indians,30,2020,Overseas,1,0,4108,42,42,3,1329,93,34.08,10,10,0,132,66,0.695259594,140.63,15,0.357142857,,,,,,,,,1280,33.68,140.66,,,0,,41,13,13,82,405,31.15,139.66,17.7,13,4,405,31.15,139.66,17.7,1990
Chris Lynn,Batsman,1.3,Kolkata Knight Riders,24,2014,Overseas,1,1,4108,42,42,3,1329,93,34.08,10,10,0,132,66,0.695259594,140.63,15,0.357142857,,,,,,,,,6,6,66.67,,,0,,1,1,1,6,6,6,66.67,4.69,13,4,405,31.15,139.66,17.7,1990
Hanuma Vihari,Batsman,2,Delhi Capitals,26,2019,Indian,0,0,4117,24,23,3,284,46,47,3,0,0,23,1,0.345070423,88.47,2,0.086956522,7,42,1,0,0,0,6.71,42,280,15.56,89.46,36,6.33,1,38,22,17,4,16,39,9.75,111.43,4.8,6,1,38,36,6.33,0.91,1993
Sheldon Jackson,Batsman,0.15,Kolkata Knight Riders,29,2015,Indian,0,0,4122,9,8,2,61,16,10.17,0,0,0,5,1,0.426229508,107.02,0,0,,,,,,,,,38,19,122.58,,,0,,4,4,3,16,38,19,122.58,5.97,,,,,,,1986
Karun Nair,Batsman,5.6,Kings XI Punjab,27,2018,Indian,0,1,4123,76,68,5,1496,83,23.75,10,10,0,161,39,0.586898396,127.75,11,0.161764706,,,,,,,,,1158,25.17,126.97,,,0,,55,14,13,64,281,21.62,124.34,12.66,13,1,281,21.62,124.34,12.66,1991
Karun Nair,Batsman,4,Delhi Daredevils,25,2016,Indian,0,0,4123,76,68,5,1496,83,23.75,10,10,0,161,39,0.586898396,127.75,11,0.161764706,,,,,,,,,520,22.61,133.68,,,0,,27,14,12,61,181,16.45,124.83,8.47,12,1,181,16.45,124.83,8.47,1991
Karun Nair,Batsman,1.4,Rajasthan Royals,31,2022,Indian,0,1,4123,76,68,5,1496,83,23.75,10,10,0,161,39,0.586898396,127.75,11,0.161764706,,,,,,,,,1480,24.26,128.36,,,0,,73,4,3,15*,16,8,114.29,2.19,3,0,16,8,114.29,2.19,1991
Karun Nair,Batsman,0.75,Rajasthan Royals,23,2014,Indian,0,1,4123,76,68,5,1496,83,23.75,10,10,0,161,39,0.586898396,127.75,11,0.161764706,,,,,,,,,9,4.5,75,,,0,,2,2,2,9,9,4.5,75,3.15,2,0,9,4.5,75,3.15,1991
Karun Nair,Batsman,0.5,Kolkata Knight Riders,30,2021,Indian,0,0,4123,76,68,5,1496,83,23.75,10,10,0,161,39,0.586898396,127.75,11,0.161764706,,,,,,,,,1480,24.26,128.36,,,0,,73,4,3,15*,16,8,114.29,2.19,3,0,16,8,114.29,2.19,1991
Vijay Zol,Batsman,0.3,Royal Challengers Bangalore,20,2014,Indian,0,1,4129,3,2,0,29,16,14.5,0,0,0,3,1,0.620689655,111.54,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994
Srikkanth Anirudha,Batsman,0.2,Sunrisers Hyderabad,27,2014,Indian,0,1,4136,20,13,5,136,64,17,0,1,0,9,7,0.573529412,120.35,1,0.076923077,,,,,,,,,133,19,123.15,,,0,,19,1,1,0,0,0,,,1,0,0,0,,,1987
